Timestamp;PIDout;MotorSpeed;DrivePower
33289119;2.540000E+002;4.109000E+003;6.511596E+000
33290088;2.370000E+002;4.126000E+003;6.511596E+000
33291089;2.390000E+002;4.124000E+003;6.511596E+000
33292086;2.410000E+002;4.122000E+003;6.511596E+000
33293087;2.450000E+002;4.118000E+003;6.511596E+000
33294091;2.430000E+002;4.120000E+003;6.511596E+000
33295084;2.430000E+002;4.122000E+003;6.875768E+000
33296088;2.410000E+002;4.147000E+003;6.875768E+000
33297089;2.160000E+002;4.147000E+003;6.875768E+000
33298086;2.280000E+002;4.139000E+003;6.875768E+000
33299087;2.410000E+002;4.122000E+003;6.875768E+000
33300100;2.330000E+002;4.130000E+003;6.875768E+000
33301088;2.260000E+002;4.137000E+003;6.875768E+000
33302088;2.430000E+002;4.120000E+003;6.875768E+000
33303091;2.200000E+002;4.143000E+003;6.875768E+000
33304091;2.200000E+002;4.114000E+003;6.875768E+000
33305087;2.490000E+002;4.114000E+003;6.875768E+000
33306087;2.410000E+002;4.122000E+003;6.875768E+000
33307091;2.410000E+002;4.122000E+003;6.875768E+000
33308091;2.330000E+002;4.130000E+003;6.875768E+000
33309086;2.180000E+002;4.145000E+003;6.875768E+000
33310089;2.490000E+002;4.114000E+003;6.875768E+000
33311100;2.140000E+002;4.149000E+003;6.875768E+000
33312088;2.220000E+002;4.141000E+003;6.875768E+000
33313088;2.310000E+002;4.132000E+003;6.875768E+000
33314092;2.310000E+002;4.132000E+003;6.875768E+000
33315084;2.080000E+002;4.155000E+003;6.875768E+000
33316088;2.140000E+002;4.149000E+003;6.875768E+000
33317088;2.200000E+002;4.143000E+003;6.875768E+000
33318092;2.310000E+002;4.132000E+003;6.875768E+000
33319092;2.160000E+002;4.147000E+003;6.875768E+000
33320090;2.120000E+002;4.151000E+003;6.875768E+000
33321090;2.140000E+002;4.149000E+003;6.875768E+000
33322105;2.160000E+002;4.147000E+003;6.875768E+000
33323085;2.160000E+002;4.147000E+003;6.875768E+000
33324085;2.160000E+002;4.147000E+003;6.875768E+000
33325089;1.870000E+002;4.176000E+003;6.875768E+000
33326089;1.990000E+002;4.164000E+003;6.875768E+000
33327085;1.990000E+002;4.164000E+003;6.875768E+000
33328085;2.140000E+002;4.149000E+003;6.875768E+000
33329088;2.030000E+002;4.160000E+003;6.875768E+000
33330092;1.990000E+002;4.164000E+003;6.876051E+000
33331087;2.160000E+002;4.147000E+003;6.608784E+000
33332088;1.910000E+002;4.172000E+003;6.608784E+000
33333101;1.910000E+002;4.172000E+003;6.608784E+000
33334088;2.010000E+002;4.162000E+003;6.608784E+000
33335089;2.100000E+002;4.153000E+003;6.608784E+000
33336085;2.140000E+002;4.149000E+003;6.608784E+000
33337086;2.120000E+002;4.151000E+003;6.608784E+000
33338090;1.990000E+002;4.164000E+003;6.608784E+000
33339091;2.310000E+002;4.132000E+003;6.608784E+000
33340090;2.010000E+002;4.162000E+003;6.608784E+000
33341091;2.120000E+002;4.151000E+003;6.608784E+000
33342088;2.120000E+002;4.137000E+003;6.608784E+000
33343089;1.700000E+002;4.137000E+003;6.608784E+000
33344104;1.950000E+002;4.168000E+003;6.608784E+000
33345085;1.950000E+002;4.168000E+003;6.608784E+000
33346086;1.870000E+002;4.176000E+003;6.608784E+000
33347090;2.120000E+002;4.151000E+003;6.608784E+000
33348091;1.930000E+002;4.170000E+003;6.608784E+000
33349088;1.870000E+002;4.176000E+003;6.608784E+000
33350092;1.870000E+002;4.176000E+003;6.608784E+000
33351088;1.910000E+002;4.172000E+003;6.608784E+000
33352089;1.910000E+002;4.172000E+003;6.608784E+000
33353086;2.050000E+002;4.158000E+003;6.608784E+000
33354087;1.760000E+002;4.187000E+003;6.608784E+000
33355148;1.930000E+002;4.170000E+003;6.608784E+000
33356091;1.930000E+002;4.170000E+003;6.608784E+000
33357085;2.010000E+002;4.162000E+003;6.608784E+000
33358089;2.010000E+002;4.162000E+003;6.608784E+000
